,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
403,0,3,male,0.43378420887071406,1,0,0.2287157287157287,S,Third,man,True,Southampton,no,False,2
404,0,3,female,0.3079584775086505,0,0,0.125,S,Third,woman,False,Southampton,no,True,1
405,0,2,male,0.5281535073922617,1,0,0.30303030303030304,S,Second,man,True,Southampton,no,False,2
406,0,3,male,0.7955331865366467,0,0,0.11183261183261184,S,Third,man,True,Southampton,no,True,1
407,1,2,male,0.04057879836426549,1,1,0.27056277056277056,S,Second,child,False,Southampton,yes,False,3
408,0,3,male,0.3236866939289085,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,1
414,1,3,male,0.6854356715948411,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,1
416,1,2,female,0.5281535073922617,1,1,0.468975468975469,S,Second,woman,False,Southampton,yes,False,3
417,1,2,female,0.27650204466813466,0,2,0.18759018759018758,S,Second,woman,False,Southampton,yes,False,3
418,0,2,male,0.4652406417112299,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
419,0,3,female,0.1506763133060711,0,2,0.34848484848484845,S,Third,child,False,Southampton,no,False,3
421,0,3,male,0.3236866939289085,0,0,0.11159163059163059,Q,Third,man,True,Queenstown,no,True,1
422,0,3,male,0.449512425290972,0,0,0.11363636363636363,S,Third,man,True,Southampton,no,True,1
423,0,3,female,0.43378420887071406,1,1,0.2077922077922078,S,Third,woman,False,Southampton,no,False,3
424,0,3,male,0.27650204466813466,1,1,0.29166666666666663,S,Third,man,True,Southampton,no,False,3
426,1,2,female,0.43378420887071406,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,2
427,1,2,female,0.29223026108839256,0,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,True,1
429,1,3,male,0.49669707455174583,0,0,0.11616161616161617,S,Third,man,True,Southampton,yes,True,1
430,1,1,male,0.43378420887071406,0,0,0.38311688311688313,S,First,man,True,Southampton,yes,True,1
432,1,2,female,0.6539792387543253,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,2
433,0,3,male,0.2607738282478767,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,1
434,0,1,male,0.7798049701163888,1,0,0.8066378066378066,S,First,man,True,Southampton,no,False,2
436,0,3,female,0.3236866939289085,2,2,0.49603174603174605,S,Third,woman,False,Southampton,no,False,5
437,1,2,female,0.3708713431896823,2,3,0.27056277056277056,S,Second,woman,False,Southampton,yes,False,6
439,0,2,male,0.4809688581314879,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,1
440,1,2,female,0.7011638880150991,1,1,0.3787878787878788,S,Second,woman,False,Southampton,yes,False,3
441,0,3,male,0.3079584775086505,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,1
442,0,3,male,0.38659955960994025,1,0,0.11219336219336219,S,Third,man,True,Southampton,no,False,2
443,1,2,female,0.43378420887071406,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,1
446,1,2,female,0.19786096256684493,0,1,0.2813852813852814,S,Second,child,False,Southampton,yes,False,2
447,1,1,male,0.5281535073922617,0,0,0.38311688311688313,S,First,man,True,Southampton,yes,True,1
448,1,3,female,0.07203523120478138,2,1,0.27789754689754687,C,Third,child,False,Cherbourg,yes,False,4
449,1,1,male,0.8112614029569047,0,0,0.4401154401154401,S,First,man,True,Southampton,yes,True,1
450,0,2,male,0.5596099402327777,1,2,0.4004329004329004,S,Second,man,True,Southampton,no,False,4
452,0,1,male,0.4652406417112299,0,0,0.4004329004329004,C,First,man,True,Cherbourg,no,True,1
455,1,3,male,0.449512425290972,0,0,0.11393650793650795,C,Third,man,True,Cherbourg,yes,True,1
458,1,2,female,0.7798049701163888,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,1
460,1,1,male,0.7483485372758729,0,0,0.38311688311688313,S,First,man,True,Southampton,yes,True,1
461,0,3,male,0.5281535073922617,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
462,0,1,male,0.732620320855615,0,0,0.5555555555555556,S,First,man,True,Southampton,no,True,1
463,0,2,male,0.7483485372758729,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
465,0,3,male,0.5910663730732935,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,1
467,0,1,male,0.8741742686379365,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,1
469,1,3,female,0.005190311418685122,2,1,0.27789754689754687,C,Third,child,False,Cherbourg,yes,False,4
471,0,3,male,0.5910663730732935,0,0,0.125,S,Third,man,True,Southampton,no,True,1
472,1,2,female,0.5124252909720037,1,2,0.4004329004329004,S,Second,woman,False,Southampton,yes,False,4
473,1,2,female,0.35514312676942433,0,0,0.19901443001443003,C,Second,woman,False,Cherbourg,yes,True,1
474,0,3,female,0.3394149103491664,0,0,0.14195526695526697,S,Third,woman,False,Southampton,no,True,1
476,0,2,male,0.5281535073922617,1,0,0.30303030303030304,S,Second,man,True,Southampton,no,False,2
477,0,3,male,0.449512425290972,1,0,0.10167099567099566,S,Third,man,True,Southampton,no,False,2
478,0,3,male,0.3394149103491664,0,0,0.10852525252525252,S,Third,man,True,Southampton,no,True,1
479,1,3,female,0.02485058194400755,0,1,0.1773088023088023,S,Third,child,False,Southampton,yes,False,2
480,0,3,male,0.13494809688581316,5,2,0.6767676767676768,S,Third,child,False,Southampton,no,False,8
482,0,3,male,0.7798049701163888,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
483,1,3,female,0.9842717835797421,0,0,0.13834776334776336,S,Third,woman,False,Southampton,yes,True,1
487,0,1,male,0.9056307014784524,0,0,0.42857142857142855,C,First,man,True,Cherbourg,no,True,1
488,0,3,male,0.4652406417112299,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
489,1,3,male,0.13494809688581316,1,1,0.22943722943722944,S,Third,child,False,Southampton,yes,False,3
491,0,3,male,0.3236866939289085,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,1
492,0,1,male,0.8584460522176786,0,0,0.4401154401154401,S,First,man,True,Southampton,no,True,1
494,0,3,male,0.3236866939289085,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
499,0,3,male,0.3708713431896823,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,1
500,0,3,male,0.2607738282478767,0,0,0.125,S,Third,man,True,Southampton,no,True,1
501,0,3,female,0.3236866939289085,0,0,0.11183261183261184,Q,Third,woman,False,Queenstown,no,True,1
503,0,3,female,0.5753381566530356,0,0,0.13834776334776336,S,Third,woman,False,Southampton,no,True,1
506,1,2,female,0.5124252909720037,0,2,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,3
508,0,3,male,0.43378420887071406,0,0,0.325036075036075,S,Third,man,True,Southampton,no,True,1
509,1,3,male,0.4023277760301982,0,0,0.8152352092352093,S,Third,man,True,Southampton,yes,True,1
510,1,3,male,0.449512425290972,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,yes,True,1
512,1,1,male,0.5596099402327777,0,0,0.37932900432900435,S,First,man,True,Southampton,yes,True,1
513,1,1,female,0.8427178357974205,1,0,0.8571428571428571,C,First,woman,False,Cherbourg,yes,False,2
514,0,3,male,0.3708713431896823,0,0,0.10816450216450217,S,Third,man,True,Southampton,no,True,1
515,0,1,male,0.732620320855615,0,0,0.4909206349206349,S,First,man,True,Southampton,no,True,1
516,1,2,female,0.5281535073922617,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,1
518,1,2,female,0.5596099402327777,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,2
519,0,3,male,0.49669707455174583,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
521,0,3,male,0.3394149103491664,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
523,1,1,female,0.6854356715948411,0,1,0.8366406926406926,C,First,woman,False,Cherbourg,yes,False,2
525,0,3,male,0.6303869141239383,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,no,True,1
526,1,2,female,0.7798049701163888,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,1
528,0,3,male,0.6067945894935515,0,0,0.11435786435786435,S,Third,man,True,Southampton,no,True,1
529,0,2,male,0.35514312676942433,2,1,0.16594516594516595,S,Second,man,True,Southampton,no,False,4
530,1,2,female,0.02485058194400755,1,1,0.37518037518037517,S,Second,child,False,Southampton,yes,False,3
532,0,3,male,0.2607738282478767,1,1,0.10431746031746031,C,Third,man,True,Cherbourg,no,False,3
534,0,3,female,0.4652406417112299,0,0,0.125,S,Third,woman,False,Southampton,no,True,1
535,1,2,female,0.10349166404529726,0,2,0.3787878787878788,S,Second,child,False,Southampton,yes,False,3
536,0,1,male,0.7011638880150991,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,1
539,1,1,female,0.3394149103491664,0,2,0.7142857142857143,C,First,woman,False,Cherbourg,yes,False,3
541,0,3,female,0.13494809688581316,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,7
542,0,3,female,0.16640452972632902,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,7
543,1,2,male,0.49669707455174583,1,0,0.37518037518037517,S,Second,man,True,Southampton,yes,False,2
545,0,1,male,1.0,0,0,0.37518037518037517,S,First,man,True,Southampton,no,True,1
546,1,2,female,0.29223026108839256,1,0,0.37518037518037517,S,Second,woman,False,Southampton,yes,False,2
548,0,3,male,0.5124252909720037,1,1,0.29617604617604615,S,Third,man,True,Southampton,no,False,3
549,1,2,male,0.1192198804655552,1,1,0.5303030303030303,S,Second,child,False,Southampton,yes,False,3
551,0,2,male,0.4180559924504561,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,1
553,1,3,male,0.3394149103491664,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,yes,True,1
554,1,3,female,0.3394149103491664,0,0,0.11219336219336219,S,Third,woman,False,Southampton,yes,True,1
555,0,1,male,0.9685435671594841,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,1
556,1,1,female,0.7483485372758729,1,0,0.5714285714285714,C,First,woman,False,Cherbourg,yes,False,2
559,1,3,female,0.5596099402327777,1,0,0.2510822510822511,S,Third,woman,False,Southampton,yes,False,2
561,0,3,male,0.6225228059138094,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
562,0,2,male,0.43378420887071406,0,0,0.19480519480519481,S,Second,man,True,Southampton,no,True,1
565,0,3,male,0.3708713431896823,2,0,0.34848484848484845,S,Third,man,True,Southampton,no,False,3
566,0,3,male,0.29223026108839256,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
567,0,3,female,0.449512425290972,0,4,0.3041125541125541,S,Third,woman,False,Southampton,no,False,5
569,1,3,male,0.49669707455174583,0,0,0.11333621933621933,S,Third,man,True,Southampton,yes,True,1
570,1,2,male,0.9685435671594841,0,0,0.15151515151515152,S,Second,man,True,Southampton,yes,True,1
571,1,1,female,0.8269896193771626,2,0,0.7428455988455989,S,First,woman,False,Southampton,yes,False,3
572,1,1,male,0.5596099402327777,0,0,0.38077200577200576,S,First,man,True,Southampton,yes,True,1
574,0,3,male,0.24504561182761875,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
575,0,3,male,0.29223026108839256,0,0,0.20923520923520925,S,Third,man,True,Southampton,no,True,1
576,1,2,female,0.5281535073922617,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,1
577,1,1,female,0.6067945894935515,1,0,0.8066378066378066,S,First,woman,False,Southampton,yes,False,2
579,1,3,male,0.49669707455174583,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,1
580,1,2,female,0.38659955960994025,1,1,0.4329004329004329,S,Second,woman,False,Southampton,yes,False,3
582,0,2,male,0.8427178357974205,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,1
583,0,1,male,0.5596099402327777,0,0,0.579004329004329,C,First,man,True,Cherbourg,no,True,1
586,0,2,male,0.732620320855615,0,0,0.21645021645021645,S,Second,man,True,Southampton,no,True,1
588,0,3,male,0.3394149103491664,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
590,0,3,male,0.5438817238125196,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,1
592,0,3,male,0.732620320855615,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,1
594,0,2,male,0.5753381566530356,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,2
595,0,3,male,0.5596099402327777,1,1,0.34848484848484845,S,Third,man,True,Southampton,no,False,3
597,0,3,male,0.7640767536961308,0,0,0.0,S,Third,man,True,Southampton,no,True,1
599,1,1,male,0.7640767536961308,1,0,0.8214891774891775,C,First,man,True,Cherbourg,yes,False,2
600,1,2,female,0.3708713431896823,2,1,0.38961038961038963,S,Second,woman,False,Southampton,yes,False,4
603,0,3,male,0.6854356715948411,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
604,1,1,male,0.5438817238125196,0,0,0.38311688311688313,C,First,man,True,Cherbourg,yes,True,1
605,0,3,male,0.5596099402327777,1,0,0.22438672438672438,S,Third,man,True,Southampton,no,False,2
606,0,3,male,0.4652406417112299,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
607,1,1,male,0.4180559924504561,0,0,0.4401154401154401,S,First,man,True,Southampton,yes,True,1
608,1,2,female,0.3394149103491664,1,2,0.599988455988456,C,Second,woman,False,Cherbourg,yes,False,4
610,0,3,female,0.6067945894935515,1,5,0.45129870129870125,S,Third,woman,False,Southampton,no,False,7
614,0,3,male,0.5438817238125196,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
615,1,2,female,0.3708713431896823,1,2,0.937950937950938,S,Second,woman,False,Southampton,yes,False,4
616,0,3,male,0.5281535073922617,1,1,0.2077922077922078,S,Third,man,True,Southampton,no,False,3
617,0,3,female,0.4023277760301982,1,0,0.23232323232323235,S,Third,woman,False,Southampton,no,False,2
618,1,2,female,0.056307014784523435,2,1,0.5627705627705628,S,Second,child,False,Southampton,yes,False,4
619,0,2,male,0.4023277760301982,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,1
620,0,3,male,0.4180559924504561,1,0,0.20857431457431458,C,Third,man,True,Cherbourg,no,False,2
621,1,1,male,0.6539792387543253,1,0,0.7583578643578643,S,First,man,True,Southampton,yes,False,2
622,1,3,male,0.3079584775086505,1,1,0.22715295815295816,C,Third,man,True,Cherbourg,yes,False,3
623,0,3,male,0.3236866939289085,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,1
624,0,3,male,0.3236866939289085,0,0,0.23232323232323235,S,Third,man,True,Southampton,no,True,1
625,0,1,male,0.9528153507392262,0,0,0.46638961038961035,S,First,man,True,Southampton,no,True,1
626,0,2,male,0.8899024850581944,0,0,0.1782106782106782,Q,Second,man,True,Queenstown,no,True,1
628,0,3,male,0.4023277760301982,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
631,0,3,male,0.7955331865366467,0,0,0.1017922077922078,S,Third,man,True,Southampton,no,True,1
632,1,1,male,0.49669707455174583,0,0,0.4401154401154401,C,First,man,True,Cherbourg,yes,True,1
634,0,3,female,0.13494809688581316,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,6
635,1,2,female,0.43378420887071406,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,1
636,0,3,male,0.49669707455174583,0,0,0.11435786435786435,S,Third,man,True,Southampton,no,True,1
637,0,2,male,0.4809688581314879,1,1,0.3787878787878788,S,Second,man,True,Southampton,no,False,3
638,0,3,female,0.6382510223340673,0,5,0.5726911976911977,S,Third,woman,False,Southampton,no,False,6
640,0,3,male,0.3079584775086505,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,1
641,1,1,female,0.3708713431896823,0,0,1.0,C,First,woman,False,Cherbourg,yes,True,1
642,0,3,female,0.02485058194400755,3,2,0.40259740259740256,S,Third,child,False,Southampton,no,False,6
644,1,3,female,0.005190311418685122,2,1,0.27789754689754687,C,Third,child,False,Cherbourg,yes,False,4
646,0,3,male,0.29223026108839256,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
647,1,1,male,0.8741742686379365,0,0,0.5122655122655123,C,First,man,True,Cherbourg,yes,True,1
649,1,3,female,0.35514312676942433,0,0,0.10894660894660894,S,Third,woman,False,Southampton,yes,True,1
651,1,2,female,0.27650204466813466,0,1,0.3318903318903319,S,Second,woman,False,Southampton,yes,False,2
652,0,3,male,0.3236866939289085,0,0,0.12169264069264069,S,Third,man,True,Southampton,no,True,1
654,0,3,female,0.27650204466813466,0,0,0.09740259740259741,Q,Third,woman,False,Queenstown,no,True,1
657,0,3,female,0.49669707455174583,1,1,0.22366522366522368,Q,Third,woman,False,Queenstown,no,False,3
658,0,2,male,0.35514312676942433,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
661,0,3,male,0.6225228059138094,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,1
662,0,1,male,0.732620320855615,0,0,0.3692279942279942,S,First,man,True,Southampton,no,True,1
663,0,3,male,0.5596099402327777,0,0,0.10816450216450217,S,Third,man,True,Southampton,no,True,1
664,1,3,male,0.3079584775086505,1,0,0.11435786435786435,S,Third,man,True,Southampton,yes,False,2
666,0,2,male,0.38659955960994025,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
668,0,3,male,0.6697074551745832,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
670,1,2,female,0.6225228059138094,1,1,0.5627705627705628,S,Second,woman,False,Southampton,yes,False,3
671,0,1,male,0.4809688581314879,1,0,0.7503607503607503,S,First,man,True,Southampton,no,False,2
673,1,2,male,0.4809688581314879,0,0,0.18759018759018758,S,Second,man,True,Southampton,yes,True,1
675,0,3,male,0.27650204466813466,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,1
676,0,3,male,0.37873545139981124,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
677,1,3,female,0.27650204466813466,0,0,0.142015873015873,S,Third,woman,False,Southampton,yes,True,1
678,0,3,female,0.6697074551745832,1,6,0.6767676767676768,S,Third,woman,False,Southampton,no,False,8
682,0,3,male,0.3079584775086505,0,0,0.1331168831168831,S,Third,man,True,Southampton,no,True,1
683,0,3,male,0.21358917898710286,5,2,0.6767676767676768,S,Third,child,False,Southampton,no,False,8
684,0,2,male,0.9370871343189682,1,1,0.5627705627705628,S,Second,man,True,Southampton,no,False,3
685,0,2,male,0.38659955960994025,1,2,0.599988455988456,C,Second,man,True,Cherbourg,no,False,4
686,0,3,male,0.21358917898710286,4,1,0.5726911976911977,S,Third,child,False,Southampton,no,False,6
687,0,3,male,0.29223026108839256,0,0,0.14676479076479076,S,Third,man,True,Southampton,no,True,1
688,0,3,male,0.27650204466813466,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,1
690,1,1,male,0.4809688581314879,1,0,0.8225108225108225,S,First,man,True,Southampton,yes,False,2
691,1,3,female,0.056307014784523435,0,1,0.1936031746031746,C,Third,child,False,Cherbourg,yes,False,2
693,0,3,male,0.38659955960994025,0,0,0.10425685425685426,C,Third,man,True,Cherbourg,no,True,1
694,0,1,male,0.9370871343189682,0,0,0.38311688311688313,S,First,man,True,Southampton,no,True,1
695,0,2,male,0.8112614029569047,0,0,0.19480519480519481,S,Second,man,True,Southampton,no,True,1
696,0,3,male,0.6854356715948411,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
699,0,3,male,0.6539792387543253,0,0,0.1103896103896104,S,Third,man,True,Southampton,no,True,1
701,1,1,male,0.5438817238125196,0,0,0.37932900432900435,S,First,man,True,Southampton,yes,True,1
702,0,3,female,0.27650204466813466,0,1,0.20857431457431458,C,Third,woman,False,Cherbourg,no,False,2
703,0,3,male,0.38659955960994025,0,0,0.11171284271284271,Q,Third,man,True,Queenstown,no,True,1
704,0,3,male,0.4023277760301982,1,0,0.11333621933621933,S,Third,man,True,Southampton,no,False,2
705,0,2,male,0.6067945894935515,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,1
706,1,2,female,0.7011638880150991,0,0,0.19480519480519481,S,Second,woman,False,Southampton,yes,True,1
707,1,1,male,0.6539792387543253,0,0,0.37932900432900435,S,First,man,True,Southampton,yes,True,1
710,1,1,female,0.3708713431896823,0,0,0.7143463203463203,C,First,woman,False,Cherbourg,yes,True,1
712,1,1,male,0.7483485372758729,1,0,0.7503607503607503,S,First,man,True,Southampton,yes,False,2
713,0,3,male,0.449512425290972,0,0,0.13684415584415585,S,Third,man,True,Southampton,no,True,1
714,0,2,male,0.8112614029569047,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
715,0,3,male,0.29223026108839256,0,0,0.1103896103896104,S,Third,man,True,Southampton,no,True,1
717,1,2,female,0.4180559924504561,0,0,0.15151515151515152,S,Second,woman,False,Southampton,yes,True,1
719,0,3,male,0.5124252909720037,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,1
720,1,2,female,0.08776344762503932,0,1,0.47619047619047616,S,Second,child,False,Southampton,yes,False,2
721,0,3,male,0.2607738282478767,1,0,0.1017922077922078,S,Third,man,True,Southampton,no,False,2
722,0,2,male,0.5281535073922617,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
723,0,2,male,0.7798049701163888,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
724,1,1,male,0.4180559924504561,1,0,0.7662337662337663,S,First,man,True,Southampton,yes,False,2
725,0,3,male,0.3079584775086505,0,0,0.125,S,Third,man,True,Southampton,no,True,1
726,1,2,female,0.4652406417112299,3,0,0.30303030303030304,S,Second,woman,False,Southampton,yes,False,4
728,0,2,male,0.38659955960994025,1,0,0.37518037518037517,S,Second,man,True,Southampton,no,False,2
729,0,3,female,0.38659955960994025,1,0,0.11435786435786435,S,Third,woman,False,Southampton,no,False,2
731,0,3,male,0.16640452972632902,0,0,0.2711038961038961,C,Third,child,False,Cherbourg,no,True,1
733,0,2,male,0.35514312676942433,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
734,0,2,male,0.35514312676942433,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
735,0,3,male,0.441648317080843,0,0,0.23232323232323235,S,Third,man,True,Southampton,no,True,1
736,0,3,female,0.7483485372758729,1,3,0.49603174603174605,S,Third,woman,False,Southampton,no,False,5
743,0,3,male,0.3708713431896823,1,0,0.23232323232323235,S,Third,man,True,Southampton,no,False,2
744,1,3,male,0.4809688581314879,0,0,0.11435786435786435,S,Third,man,True,Southampton,yes,True,1
746,0,3,male,0.24504561182761875,1,1,0.2922077922077922,S,Third,man,True,Southampton,no,False,3
747,1,2,female,0.4652406417112299,0,0,0.18759018759018758,S,Second,woman,False,Southampton,yes,True,1
748,0,1,male,0.29223026108839256,1,0,0.7662337662337663,S,First,man,True,Southampton,no,False,2
749,0,3,male,0.4809688581314879,0,0,0.11183261183261184,Q,Third,man,True,Queenstown,no,True,1
750,1,2,female,0.056307014784523435,1,1,0.3318903318903319,S,Second,child,False,Southampton,yes,False,3
751,1,3,male,0.08776344762503932,0,1,0.18001443001443002,S,Third,child,False,Southampton,yes,False,2
752,0,3,male,0.5124252909720037,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,1
753,0,3,male,0.35514312676942433,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
754,1,2,female,0.7483485372758729,1,2,0.937950937950938,S,Second,woman,False,Southampton,yes,False,4
755,1,2,male,0.0039320541050644866,1,1,0.20923520923520925,S,Second,child,False,Southampton,yes,False,3
756,0,3,male,0.43378420887071406,0,0,0.11249350649350649,S,Third,man,True,Southampton,no,True,1
757,0,2,male,0.27650204466813466,0,0,0.16594516594516595,S,Second,man,True,Southampton,no,True,1
758,0,3,male,0.5281535073922617,0,0,0.11616161616161617,S,Third,man,True,Southampton,no,True,1
761,0,3,male,0.6382510223340673,0,0,0.10281385281385282,S,Third,man,True,Southampton,no,True,1
762,1,3,male,0.3079584775086505,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,yes,True,1
764,0,3,male,0.24504561182761875,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,1
767,0,3,female,0.4731047499213589,0,0,0.11183261183261184,Q,Third,woman,False,Queenstown,no,True,1
769,0,3,male,0.49669707455174583,0,0,0.12067099567099568,S,Third,man,True,Southampton,no,True,1
770,0,3,male,0.3708713431896823,0,0,0.1370851370851371,S,Third,man,True,Southampton,no,True,1
771,0,3,male,0.7483485372758729,0,0,0.11333621933621933,S,Third,man,True,Southampton,no,True,1
772,0,2,female,0.8899024850581944,0,0,0.15151515151515152,S,Second,woman,False,Southampton,no,True,1
774,1,2,female,0.8427178357974205,1,3,0.3318903318903319,S,Second,woman,False,Southampton,yes,False,5
775,0,3,male,0.27650204466813466,0,0,0.11183261183261184,S,Third,man,True,Southampton,no,True,1
777,1,3,female,0.07203523120478138,0,0,0.18001443001443002,S,Third,child,False,Southampton,yes,True,1
780,1,3,female,0.19786096256684493,0,0,0.10431746031746031,C,Third,child,False,Cherbourg,yes,True,1
781,1,1,female,0.2607738282478767,1,0,0.8225108225108225,S,First,woman,False,Southampton,yes,False,2
782,0,1,male,0.449512425290972,0,0,0.4329004329004329,S,First,man,True,Southampton,no,True,1
784,0,3,male,0.38659955960994025,0,0,0.10173160173160173,S,Third,man,True,Southampton,no,True,1
785,0,3,male,0.38659955960994025,0,0,0.10461760461760462,S,Third,man,True,Southampton,no,True,1
786,1,3,female,0.27650204466813466,0,0,0.10816450216450217,S,Third,woman,False,Southampton,yes,True,1
787,0,3,male,0.1192198804655552,4,1,0.4202741702741703,Q,Third,child,False,Queenstown,no,False,6
788,1,3,male,0.009122365523749607,1,2,0.2968975468975469,S,Third,child,False,Southampton,yes,False,4
791,0,2,male,0.24504561182761875,0,0,0.37518037518037517,S,Second,man,True,Southampton,no,True,1
794,0,3,male,0.38659955960994025,0,0,0.11393650793650795,S,Third,man,True,Southampton,no,True,1
795,0,2,male,0.6067945894935515,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
796,1,1,female,0.7640767536961308,0,0,0.3741587301587302,S,First,woman,False,Southampton,yes,True,1
797,1,3,female,0.4809688581314879,0,0,0.1253001443001443,S,Third,woman,False,Southampton,yes,True,1
798,0,3,male,0.4652406417112299,0,0,0.10431746031746031,C,Third,man,True,Cherbourg,no,True,1
799,0,3,female,0.4652406417112299,1,1,0.34848484848484845,S,Third,woman,False,Southampton,no,False,3
800,0,2,male,0.5281535073922617,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
801,1,2,female,0.4809688581314879,1,1,0.3787878787878788,S,Second,woman,False,Southampton,yes,False,3
803,1,3,male,0.0,0,1,0.12289610389610389,C,Third,child,False,Cherbourg,yes,False,2
804,1,3,male,0.4180559924504561,0,0,0.10064935064935064,S,Third,man,True,Southampton,yes,True,1
805,0,3,male,0.4809688581314879,0,0,0.11219336219336219,S,Third,man,True,Southampton,no,True,1
806,0,1,male,0.6067945894935515,0,0,0.0,S,First,man,True,Southampton,no,True,1
807,0,3,female,0.27650204466813466,0,0,0.11219336219336219,S,Third,woman,False,Southampton,no,True,1
808,0,2,male,0.6067945894935515,0,0,0.18759018759018758,S,Second,man,True,Southampton,no,True,1
809,1,1,female,0.5124252909720037,1,0,0.7662337662337663,S,First,woman,False,Southampton,yes,False,2
810,0,3,male,0.4023277760301982,0,0,0.11381673881673882,S,Third,man,True,Southampton,no,True,1
811,0,3,male,0.6067945894935515,0,0,0.34848484848484845,S,Third,man,True,Southampton,no,True,1
812,0,2,male,0.5438817238125196,0,0,0.15151515151515152,S,Second,man,True,Southampton,no,True,1
813,0,3,female,0.08776344762503932,4,2,0.45129870129870125,S,Third,child,False,Southampton,no,False,7
